,year,title,abstract,Targeted organisms,Technical target,Methods,Topics
643,2024,"Generic workflow for a rapid and easy design of strain-specific PCR and qPCR primers, applied to the assessment of bacterial strains survival in soil","Background Detecting bacteria at the strain level is crucial in microbiology. Although qPCR is widely used, designing strain-specific primers remains a challenge due to nucleotide sequence similarities among related strains. Methods and Results This paper introduces a simplified, web-based workflow for designing strain-specific primers using publicly available microbial genomes. The method does not require advanced bioinformatics skills and can be applied using a basic computer. Primers designed using this workflow are applied to assess the survival of two close Bacillus strains in soil microcosms. Conclusion The workflow offers an accessible solution for accurate bacterial strain detection, and fills a gap for researchers without specialized training in bioinformatics.",Bacteria,,(Meta)genomics,Ecosystem Dynamics & Biodiversity
644,2024,"Metagenomic analysis of microbial consortia native to the Amazon, Highlands, and Galapagos regions of Ecuador with potential for wastewater remediation","Abstract Native microbial consortia have been proposed for biological wastewater treatment, but their diversity and function remain poorly understood. This study investigated three native microalgae‐bacteria consortia collected from the Amazon, Highlands, and Galapagos regions of Ecuador to assess their metagenomes and wastewater remediation potential. The consortia were evaluated for 12 days under light (LC) and continuous dark conditions (CDC) to measure their capacity for nutrient and organic matter removal from synthetic wastewater (SWW). Overall, all three consortia demonstrated higher nutrient removal efficiencies under LC than CDC, with the Amazon and Galapagos consortia outperforming the Highlands consortium in nutrient removal capabilities. Despite differences in α‐ and β‐diversity, microbial species diversity within and between consortia did not directly correlate with their nutrient removal capabilities. However, all three consortia were enriched with core taxonomic groups associated with wastewater remediation activities. Our analyses further revealed higher abundances for nutrient removing microorganisms in the Amazon and Galapagos consortia compared with the Highland consortium. Finally, this study also uncovered the contribution of novel microbial groups that enhance wastewater bioremediation processes. These groups have not previously been reported as part of the core microbial groups commonly found in wastewater communities, thereby highlighting the potential of investigating microbial consortia isolated from ecosystems of megadiverse countries like Ecuador.","Bacteria, Microbiome","Isolate, Community (taxonomy) profiling, Functional analysis","(Meta)genomics, Metagenomics",Ecosystem Dynamics & Biodiversity
645,2024,Enterobacteriaceae as a Key Indicator of Huanglongbing Infection in Diaphorina citri,"Extensive microbial interactions occur within insect hosts. However, the interactions between the Huanglongbing (HLB) pathogen and endosymbiotic bacteria within the Asian citrus psyllid (ACP, Diaphorina citri Kuwayama) in wild populations remain elusive. Thus, this study aimed to detect the infection rates of HLB in the ACP across five localities in China, with a widespread prevalence in Ruijin (RJ, 58%), Huidong (HD, 28%), and Lingui (LG, 15%) populations. Next, microbial communities of RJ and LG populations collected from citrus were analyzed via 16S rRNA amplicon sequencing. The results revealed a markedly higher microbial diversity in the RJ population compared to the LG population. Moreover, the PCoA analysis identified significant differences in microbial communities between the two populations. Considering that the inter-population differences of Bray–Curtis dissimilarity in the RJ population exceeded those between populations, separate analyses were performed. Our findings indicated an increased abundance of Enterobacteriaceae in individuals infected with HLB in both populations. Random forest analysis also identified Enterobacteriaceae as a crucial indicator of HLB infection. Furthermore, the phylogenetic analysis suggested a potential regulatory role of ASV4017 in Enterobacteriaceae for ACP, suggesting its possible attractant activity. This research contributes to expanding the understanding of microbial communities associated with HLB infection, holding significant implications for HLB prevention and treatment.","Bacteria, Microbiome, Pathogen","Community (taxonomy) profiling, Interactome",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
646,2024,Trophic Position of the White Worm (Enchytraeus albidus) in the Context of Digestive Enzyme Genes Revealed by Transcriptomics Analysis,"To assess the impact of Enchytraeidae (potworms) on the functioning of the decomposer system, knowledge of the feeding preferences of enchytraeid species is required. Different food preferences can be explained by variations in enzymatic activities among different enchytraeid species, as there are no significant differences in the morphology or anatomy of their alimentary tracts. However, it is crucial to distinguish between the contribution of microbial enzymes and the animal’s digestive capacity. Here, we computationally analyzed the endogenous digestive enzyme genes in Enchytraeus albidus. The analysis was based on RNA-Seq of COI-monohaplotype culture (PL-A strain) specimens, utilizing transcriptome profiling to determine the trophic position of the species. We also corroborated the results obtained using transcriptomics data from genetically heterogeneous freeze-tolerant strains. Our results revealed that E. albidus expresses a wide range of glycosidases, including GH9 cellulases and a specific digestive SH3b-domain-containing i-type lysozyme, previously described in the earthworm Eisenia andrei. Therefore, E. albidus combines traits of both primary decomposers (primary saprophytophages) and secondary decomposers (sapro-microphytophages/microbivores) and can be defined as an intermediate decomposer. Based on assemblies of publicly available RNA-Seq reads, we found close homologs for these cellulases and i-type lysozymes in various clitellate taxa, including Crassiclitellata and Enchytraeidae.",Virus,Functional analysis,(Meta)transcriptomics,Ecosystem Dynamics & Biodiversity
647,2024,Serial fermentation in milk generates functionally diverse community lineages with different degrees of structure stabilization,"ABSTRACT Microbial communities offer considerable potential for tackling environmental challenges by improving the functioning of ecosystems. Top-down community engineering is a promising strategy that could be used to obtain communities of desired function. However, the ecological factors that control the balance between community shaping and propagation are not well understood. Dairy backslopping, which consists of using part of the previous production to inoculate a new one, can be used as a model engineering approach to investigate community dynamics during serial propagations. In this study, 26 raw milk samples were serially propagated 6 times each, giving rise to 26 community lineages. Bacterial community structures were analyzed by metabarcoding, and acidification was recorded by pH monitoring. The results revealed that different types of community lineages could be obtained in terms of taxonomic composition and dynamics. Five lineages reached a repeatable community structure in a few propagation steps, with little variation between the final generations, giving rise to stable acidification kinetics. Moreover, these stabilized communities presented a high variability of structure and diverse acidification properties between community lineages. Besides, the other lineages were characterized by different levels of dynamics leading to parallel or divergent trajectories. The functional properties and dynamics of the communities were mainly related to the relative abundance and the taxonomic composition of lactic acid bacteria within the communities. These findings highlight that short-term schemes of serial fermentation can produce communities with a wide range of dynamics and that the balance between community shaping and propagation is intimately linked to community structure. IMPORTANCE Microbiome applications require approaches for shaping and propagating microbial communities. Shaping allows the selection of communities with desired taxonomic and functional properties, while propagation allows the production of the biomass required to inoculate the engineered communities in the target ecosystem. In top-down community engineering, where communities are obtained from a pool of mixed microorganisms by acting on environmental variables, a major challenge is to master the balance between shaping and propagation. However, the ecological factors that favor high dynamics of community structure and, conversely, those that favor stability during propagation are not well understood. In this work, short-term dairy backslopping was used to investigate the key role of the taxonomic composition and structure of bacterial communities on their dynamics. The results obtained open up interesting prospects for the biotechnological use of microbiomes, particularly in the field of dairy fermentation, to diversify approaches for injecting microbial biodiversity into cheesemaking processes. Microbiome applications require approaches for shaping and propagating microbial communities. Shaping allows the selection of communities with desired taxonomic and functional properties, while propagation allows the production of the biomass required to inoculate the engineered communities in the target ecosystem. In top-down community engineering, where communities are obtained from a pool of mixed microorganisms by acting on environmental variables, a major challenge is to master the balance between shaping and propagation. However, the ecological factors that favor high dynamics of community structure and, conversely, those that favor stability during propagation are not well understood. In this work, short-term dairy backslopping was used to investigate the key role of the taxonomic composition and structure of bacterial communities on their dynamics. The results obtained open up interesting prospects for the biotechnological use of microbiomes, particularly in the field of dairy fermentation, to diversify approaches for injecting microbial biodiversity into cheesemaking processes.","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis",Metabarcoding,Ecosystem Dynamics & Biodiversity
648,2024,Discovery and characterisation of new phage targeting uropathogenic Escherichia coli,"Antimicrobial resistance (AMR) is increasing at an escalating rate with few new therapeutic options in the pipeline. Urinary tract infections (UTIs) are one of the most prevalent bacterial infections globally and are particularly prone to becoming recurrent and antibiotic resistant. The aim of this study was to discover and characterise new bacterial viruses (phage) against uropathogenic Escherichia coli (UPEC), which is the leading cause of UTIs. Six phages from the Autographiviridae family and Guernseyvirinae sub-family were isolated from wastewater and sequenced. The length of the isolated phage genomes was between 39,471 bp and 45,233 bp, with a GC content between 45.0% and 51.0%, and 57 to 84 predicted coding sequences (CDS) per genome. These phages were found to infect between 25 – 75% of the twelve UPEC strains tested. Using sequence comparison and predicted structural alignments, we show a similarity between the C-terminal domain of the tail fiber proteins of two phage that correlates with their host range. In vitro characterisation of phage cocktails against a single bacterial strain did not perform better than the best-performing phage, but did show synergistic improvement against a mixed UPEC strain population. Lastly, we measured the effectiveness of treatment with phage with different lytic kinetics in a sequential treatment and found it was improved over single phage treatment.","Bacteria, Virus, Pathogen","Isolate, AMR",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
649,2024,"Environmental microbiome in the home and daycare settings during the COVID‐19 pandemic, and potential risk of non‐communicable disease in children","Home dust samples contained higher microbial diversity with human‐associated taxa being prevalent than daycare samples where environmental taxa were more common. Several taxa detected in both the environments are known to induce immune responses, potentially conferring protection from various non‐communicable and infectious diseases among children.",Microbiome,Community (taxonomy) profiling,,"Ecosystem Dynamics & Biodiversity, Health & Disease"
650,2023,"Genomic characterization of New Delhi metallo‐beta‐lactamase–producing species of Morganellaceae, Yersiniaceae, and Enterobacteriaceae (other than Klebsiella) from Brazil over 2013–2022","Over the last decade, New Delhi metallo‐beta‐lactamase (NDM) carbapenemase has silently spread in Brazil. In this study, we analyzed a large collection of Enterobacterales other than Klebsiella spp. received in our reference laboratory between 2013 and 2022. A total of 32 clinical isolates displaying different pulsed‐field gel electrophoresis profiles, and represented by 11 species in the families Enterobacteriaceae (Citrobacter freundii, Citrobacter portucalensis, Enterobacter hormaechei, and Escherichia coli), Morganellaceae (Morganella morganii, Proteus mirabilis, Proteus vulgaris, Providencia rettgeri, Providencia stuartii, and Raoultella ornithinolytica), and Yersiniaceae (Serratia marcescens) had their whole genomes sequenced and further analyzed. Antimicrobial susceptibility was determined by disk diffusion, except for polymyxin B, assessed by broth microdilution. The blaNDM‐1 allele was predominant (n = 29), but blaNDM‐5 was identified in an E. coli specimen with a novel ST, and the blaNDM‐7 allele was found in E. hormaechei ST45 and E. coli ST1049. Polymyxin was active against all but one Enterobacteriaceae isolate: an mcr‐1–producing E. coli presenting minimal inhibitory concentration (4 mg/L). Isolates producing extended‐spectrum β‐lactamases were common: cefotaximase from Munich (CTX‐M)‐15 (n = 10), CTX‐M‐2 (n = 4), and CTX‐M‐8 (n = 3) were detected, and the mcr‐1–producing E. coli was found to co‐produce both CTX‐M‐8 and CTX‐M‐55 β‐lactamases. The mcr‐9 gene was found in 5/8 E. hormaechei isolates, distributed in four different sequence types, all of them presenting susceptibility to polymyxin. This study showed that NDM‐producing Enterobacterales other than Klebsiella are already spread in Brazil, in diversified species, and cocarrying important resistance genes. Prompt detection and effective implementation of measures to prevent further spread are mandatory for mitigating the dissemination of NDM carbapenemase in hospital settings and preserving the already limited antimicrobial therapy options.",Bacteria,"Isolate, AMR",(Meta)genomics,Health & Disease
651,2023,Escherichia coli Microcin B17 as a chassis for the development of novel antimicrobial peptides,"Antimicrobial resistance remains an urgent and growing global health problem. Peptides with antimicrobial activity are widespread in nature but are rarely harnessed for application, making them an underexplored and untapped resource. Many harbor post-translational modifications, which are essential for function and have evolved alongside specialized export and immunity machineries – leading to the current paradigm that natural sequences cannot be changed, and curtailing their development as antimicrobial agents. Nonetheless, we found sufficient ambiguity in literature to question if that remained true for E. coli MccB17. We demonstrate that its natural machinery for synthesis, export and immunity, can be co-opted as a platform for novel azole-modified antimicrobial peptide discovery. We show that the sequence space available for exploration is large and densely populated with functional sequences. One-Sentence Summary E. coli can be harnessed as an in vivo platform for the isolation of novel antimicrobial azole-modified peptides.",,"Functional analysis, AMR",,Health & Disease
652,2023,Viruses participate in the organomineralization of travertines,"Travertines, which precipitate from high temperature water saturated with calcium carbonate, are generally considered to be dominated by physico-chemical and microbial precipitates. Here, as an additional influence on organomineral formation, metagenomic data and microscopic analyses clearly demonstrate that highly diverse viral, bacterial and archaeal communities occur in the biofilms associated with several modern classic travertine sites in Europe and Asia, along with virus-like particles. Metagenomic analysis reveals that bacteriophages (bacterial viruses) containing icosahedral capsids and belonging to the Siphoviridae, Myoviridae and Podoviridae families are the most abundant of all viral strains, although the bacteriophage distribution does vary across the sampling sites. Icosahedral shapes of capsids are also the most frequently observed under the microscope, occurring as non-mineralized through to mineralized viruses and virus-like particles. Viruses are initially mineralized by Ca-Si amorphous precipitates with subordinate Mg and Al contents; these then alter to nanospheroids composed of Ca carbonate with minor silicate 80–300 nm in diameter. Understanding the roles of bacteriophages in modern carbonate-saturated settings and related organomineralization processes is critical for their broader inclusion in the geological record and ecosystem models.","Bacteria, Virus, Archaea, Microbiome",Community (taxonomy) profiling,"(Meta)genomics, Metagenomics",Ecosystem Dynamics & Biodiversity
653,2023,The challenges of the genome-based identification of antifungal resistance in the clinical routine,"The increasing number of chronic and life-threatening infections caused by antimicrobial resistant fungal isolates is of critical concern. Low DNA sequencing cost may facilitate the identification of the genomic profile leading to resistance, the resistome, to rationally optimize the design of antifungal therapies. However, compared to bacteria, initiatives for resistome detection in eukaryotic pathogens are underdeveloped. Firstly, reported mutations in antifungal targets leading to reduced susceptibility must be extensively collected from the literature to generate comprehensive databases. This information should be complemented with specific laboratory screenings to detect the highest number possible of relevant genetic changes in primary targets and associations between resistance and other genomic markers. Strikingly, some drug resistant strains experience high-level genetic changes such as ploidy variation as much as duplications and reorganizations of specific chromosomes. Such variations involve allelic dominance, gene dosage increments and target expression regime effects that should be explicitly parameterized in antifungal resistome prediction algorithms. Clinical data indicate that predictors need to consider the precise pathogen species and drug levels of detail, instead of just genus and drug class. The concomitant needs for mutation accuracy and assembly quality assurance suggest hybrid sequencing approaches involving third-generation methods will be utilized. Moreover, fatal fast infections, like fungemia and meningitis, will further require both sequencing and analysis facilities are available in-house. Altogether, the complex nature of antifungal resistance demands extensive sequencing, data acquisition and processing, bioinformatic analysis pipelines, and standard protocols to be accomplished prior to genome-based protocols are applied in the clinical setting.","Bacteria, Eukaryote, Pathogen","Isolate, AMR, MAGs",(Meta)genomics,Health & Disease
654,2023,Highly sensitive quantitative phase microscopy and deep learning aided with whole genome sequencing for rapid detection of infection and antimicrobial resistance,"Current state-of-the-art infection and antimicrobial resistance (AMR) diagnostics are based on culture-based methods with a detection time of 48–96 h. Therefore, it is essential to develop novel methods that can do real-time diagnoses. Here, we demonstrate that the complimentary use of label-free optical assay with whole-genome sequencing (WGS) can enable rapid diagnosis of infection and AMR. Our assay is based on microscopy methods exploiting label-free, highly sensitive quantitative phase microscopy (QPM) followed by deep convolutional neural networks-based classification. The workflow was benchmarked on 21 clinical isolates from four WHO priority pathogens that were antibiotic susceptibility tested, and their AMR profile was determined by WGS. The proposed optical assay was in good agreement with the WGS characterization. Accurate classification based on the gram staining (100% recall for gram-negative and 83.4% for gram-positive), species (98.6%), and resistant/susceptible type (96.4%), as well as at the individual strain level (100% sensitivity in predicting 19 out of the 21 strains, with an overall accuracy of 95.45%). The results from this initial proof-of-concept study demonstrate the potential of the QPM assay as a rapid and first-stage tool for species, strain-level classification, and the presence or absence of AMR, which WGS can follow up for confirmation. Overall, a combined workflow with QPM and WGS complemented with deep learning data analyses could, in the future, be transformative for detecting and identifying pathogens and characterization of the AMR profile and antibiotic susceptibility.",Pathogen,"Isolate, AMR",(Meta)genomics,Health & Disease
655,2023,Metaproteomic analysis of nasopharyngeal swab samples to identify microbial peptides and potential co-infection status in COVID-19 patients,,,,"(Meta)proteomics, Metaproteomics",Health & Disease
656,2023,Galaxy ASIST: A web-based platform for mapping and assessment of global standards of antimicrobial susceptibility: A case study in Acinetobacter baumannii genomes,"Introduction Antimicrobial susceptibility testing (AST) is used to determine the susceptibility of an organism to antibiotics. The determination of susceptibility is based on MIC breakpoints and is provided by EUCAST and CLSI. Likewise, phenotypic classification criteria developed by CDC/ECDC are used for the classification of pathogens into susceptible, multidrug-resistant, extremely drug-resistant, or totally drug-resistant categories. Whole-genome sequencing (WGS)-based diagnosis is now supplementing existing gold-standard microbiology methods for rapid and more precise AST, and therefore, EUCAST recommended quality criteria to assess whole-genome sequence for reporting the same. In this study, these three global standards, MIC breakpoints, phenotypic classification, and genome quality, are applied to the largest publicly available data for Acinetobacter baumannii (AB), the most critical priority pathogen identified by WHO. Materials and Methods The drug sensitivity profile and genomes for isolates of AB were obtained from PATRIC and evaluated with respect to AST standards (CLSI and EUCAST). Whole genome quality assessment and antimicrobial resistance mapping is performed with QUAST and ABRicate, respectively. Four in-house methods are developed for mapping standards and are integrated into a Galaxy workflow based system, Galaxy-ASIST. Analysis of the extent of agreement between CLSI 2022 and EUCAST 2022 for antibiotics was carried out using Cohen’s kappa statistics. Results and Discussion An automated pipeline, Galaxy-ASIST, is designed and developed for the characterization of clinical isolates based on these standards. Evaluation of over 6,500 AB strains using Galaxy-ASIST indicated that only 10% of the publicly available datasets have metadata to implement these standards. Furthermore, given that CLSI and EUCAST have different MIC breakpoints, discrepancies are observed in the classification of resistant and susceptible isolates following these standards. It is, therefore, imperative that platforms are developed that allow the evaluation of ever increasing phenotypic and genome sequence datasets for AST. Galaxy-ASIST offers a centralized repository and a structured metadata architecture to provide a single globally acceptable framework for AST profiling of clinical isolates based on global standards. The platform also offers subsequent fine mapping of antimicrobial-resistant determinants. Galaxy-ASIST is freely available at https://ab-openlab.csir.res.in/asist.",Pathogen,"Isolate, AMR",(Meta)genomics,Health & Disease
657,2022,Effects of Hst3p inhibition in Candida albicans: a genome-wide H3K56 acetylation analysis,"Candida spp. represent the third most frequent worldwide cause of infection in Intensive Care Units with a mortality rate of almost 40%. The classes of antifungals currently available include azoles, polyenes, echinocandins, pyrimidine derivatives, and allylamines. However, the therapeutical options for the treatment of candidiasis are drastically reduced by the increasing antifungal resistance. The growing need for a more targeted antifungal therapy is limited by the concern of finding molecules that specifically recognize the microbial cell without damaging the host. Epigenetic writers and erasers have emerged as promising targets in different contexts, including the treatment of fungal infections. In C. albicans, Hst3p, a sirtuin that deacetylates H3K56ac, represents an attractive antifungal target as it is essential for the fungus viability and virulence. Although the relevance of such epigenetic regulator is documented for the development of new antifungal therapies, the molecular mechanism behind Hst3p-mediated epigenetic regulation remains unrevealed. Here, we provide the first genome-wide profiling of H3K56ac in C. albicans resulting in H3K56ac enriched regions associated with Candida sp. pathogenicity. Upon Hst3p inhibition, 447 regions gain H3K56ac. Importantly, these genomic areas contain genes encoding for adhesin proteins, degradative enzymes, and white-opaque switching. Moreover, our RNA-seq analysis revealed 1330 upregulated and 1081 downregulated transcripts upon Hst3p inhibition, and among them, we identified 87 genes whose transcriptional increase well correlates with the enrichment of H3K56 acetylation on their promoters, including some well-known regulators of phenotypic switching and virulence. Based on our evidence, Hst3p is an appealing target for the development of new potential antifungal drugs.",Pathogen,AMR,(Meta)genomics,Health & Disease
658,2022,"Genomic Diversity of NDM-Producing Klebsiella Species from Brazil, 2013–2022","Background: Since its first report in the country in 2013, NDM-producing Enterobacterales have been identified in all the Brazilian administrative regions. In this study, we characterized by antimicrobial susceptibility testing and by molecular typing a large collection of NDM-producing Klebsiella isolates from different hospitals in Brazil, mainly from the state of Sao Paulo, over the last decade. Methods: Bacterial isolates positive for blaNDM-genes were identified by MALDI-TOF MS and submitted to antimicrobial susceptibility testing by disk diffusion or broth microdilution (for polymyxin B). All isolates were submitted to pulsed-field gel electrophoresis, and isolates belonging to different clusters were submitted to whole genome sequencing by Illumina technology and downstream analysis. Mating out assays were performed by conjugation, plasmid sizes were determined by S1-PFGE, and plasmid content was investigated by hybrid assembly after MinIon long reads sequencing. Results: A total of 135 NDM-producing Klebsiella were identified, distributed into 107 different pulsotypes; polymyxin B was the only antimicrobial with high activity against 88.9% of the isolates. Fifty-four isolates presenting diversified pulsotypes were distributed in the species K. pneumoniae (70%), K. quasipneumoniae (20%), K. variicola (6%), K. michiganensis (a K. oxytoca Complex species, 2%), and K. aerogenes (2%); blaNDM-1 was the most frequent allele (43/54, 80%). There was a predominance of Clonal Group 258 (ST11 and ST340) encompassing 35% of K. pneumoniae isolates, but another thirty-one different sequence types (ST) were identified, including three described in this study (ST6244 and ST6245 for K. pneumoniae, and ST418 for K. michiganensis). The blaNDM-1 and blaNDM-7 were found to be located into IncF and IncX3 type transferable plasmids, respectively. Conclusions: Both clonal (mainly driven by CG258) and non-clonal expansion of NDM-producing Klebsiella have been occurring in Brazil in different species and clones, associated with different plasmids, since 2013.",Bacteria,"Isolate, Community (taxonomy) profiling, AMR, MAGs",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
659,2025,Proteogenomic analysis demonstrates increased blaOXA-48 copy numbers and OmpK36 loss as contributors to carbapenem resistance in Klebsiella pneumoniae,"ABSTRACT Antimicrobial resistance arises from complex genetic and regulatory changes, including single mutations, gene acquisitions, or cumulative effects. Advancements in genomics and proteomics facilitate a more comprehensive understanding of the mechanisms behind antimicrobial resistance. In this study, 74 clinically obtained Klebsiella pneumoniae isolates with increased meropenem and/or imipenem MICs were characterized by broth microdilution and PCR to check for the presence of carbapenemase genes. Subsequently, a representative subset of 15 isolates was selected for whole-genome sequencing (WGS) by Illumina and Nanopore sequencing, and proteomic analysis by liquid chromatography-tandem mass spectrometry (LC-MS/MS) to investigate the mechanisms underlying the differences in carbapenem susceptibility of Klebsiella pneumoniae isolates. Identical techniques were applied to characterize four mutants obtained after sequential meropenem exposure. We demonstrated that in clinically obtained isolates, increased copy numbers of blaOXA-48-containing plasmids, combined with OmpK36 loss, contributed to high carbapenem MICs without the involvement of OmpK35 or other porins or efflux systems. In the meropenem-exposed mutants, increased copy numbers of blaCTX-M-15 or blaOXA-48-containing plasmids, combined with OmpK36 loss, were demonstrated. The OmpK36 loss resulted from the insertion of IS1 transposable elements or partial deletion of the ompK36 gene. Additionally, we identified two mutations, C59A and C58A, in the DNA coding the copA antisense RNA of IncFII plasmids and multiple mutations of an IncR plasmid, associated with increased plasmid copy numbers. This study demonstrates that by combining WGS and LC-MS/MS, the effect of genomic changes on protein expression related to antibiotic resistance and the mechanisms behind antibiotic resistance can be elucidated.",,"Isolate, AMR","(Meta)genomics, (Meta)proteomics",Health & Disease
660,2025,De novo peptide databases enable protein-based stable isotope probing of microbial communities with up to species-level resolution,"Background Protein-based stable isotope probing (Protein-SIP) is a powerful approach that can directly link individual taxa to activity and substrate assimilation, elucidating metabolic pathways and trophic relationships within microbial communities. In Protein-SIP, peptides and corresponding taxa are identified by database matching, making database quality crucial for accurate analyses. For samples with unknown community composition, Protein-SIP typically employs either unrestricted reference databases or metagenome-derived databases. While (meta)genome-derived databases represent the gold standard, they may be incomplete and are typically resource-intensive to generate. In contrast, unrestricted reference databases can inflate the search space and require complex post-processing. Results Here, we explore the feasibility of using de novo peptide sequencing to construct peptide databases directly from mass spectrometry raw data. We then use the mass spectrometric data from labeled cultures to quantify isotope incorporation into specific peptides. We benchmark our approach against the canonical approach in which a sample-matching (meta)genome-derived protein sequence database is used on three different datasets: 1) a proteome analysis from a defined microbial community containing 13C-labeled E. coli cells, 2) time-course data of an anammox-dominated continuous reactor after feeding with 13C-labeled bicarbonate, and 3) a model of the human distal gut simulating a high-protein and high-fiber diet cultivated in either 2H2O or H218O. Our results show that de novo peptide databases are applicable to different isotopes, detecting similar amounts of labeled peptides compared to sample-matching (meta)genome-derived databases, and also identify labeled peptides missed by this canonical approach. Furthermore, we show that peptide-centric Protein-SIP allows up to species-specific resolution and enables the assessment of activity related to individual biological processes. Finally, we provide access to our modular Python pipeline to assist the construction of de novo peptide databases and subsequent peptide-centric Protein-SIP data analysis (https://git.ufz.de/meb/denovo-sip). Conclusions De novo peptide databases enable Protein-SIP of microbial communities without prior knowledge of the composition and can be used complementarily to (meta)genome-derived databases or as a standalone alternative in exploratory or resource-limited settings.",Microbiome,Community (taxonomy) profiling,"(Meta)genomics, Metagenomics, (Meta)proteomics",
661,2025,"Shotgun metagenomic composition, microbial interactions and functional insights into the uterine microbiome of postpartum dairy cows with clinical and subclinical endometritis","Clinical endometritis (CE) is associated with bacterial pathogens while the same has not been proved about subclinical endometritis (SCE). We aimed to use shotgun metagenomic sequencing to investigate the associations between potentially unidentified pathogens and SCE. Uterine cytobrush samples from multiparous Holstein cows (n = 23) were taken at 21 days in milk (DIM) and sequenced via the Illumina shotgun platform. At 36 DIM, the cows were diagnosed as CE (n = 7), SCE (n = 7), or healthy (n = 9). We did not find differences in the alpha and beta diversity of bacteria and eukaryotes among the health groups. Relative abundance of typical pathogens i.e. Fusobacterium, Peptoniphilus, Peptostreptococcus, and Trueperella was greater in CE than healthy controls. We did not find evidence of eukaryotic or viral association in infection, yet, distinct patterns of bacterial co-occurrence were observed among pathogenic and non-pathogenic bacteria. In CE cows, Wnt/catenin pathway had lower abundance than SCE or healthy cows. Our findings support that CE is characterized by domination of pathogenic bacteria that intercorrelate, whereas SCE is not associated with bacterial colonization. Supplementary Information The online version contains supplementary material available at 10.1038/s41598-025-03265-4.","Bacteria, Eukaryote, Microbiome, Pathogen","Community (taxonomy) profiling, Functional analysis, Interactome","(Meta)genomics, Metagenomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
662,2025,The microbiologist's guide to metaproteomics,"Abstract Metaproteomics is an emerging approach for studying microbiomes, offering the ability to characterize proteins that underpin microbial functionality within diverse ecosystems. As the primary catalytic and structural components of microbiomes, proteins provide unique insights into the active processes and ecological roles of microbial communities. By integrating metaproteomics with other omics disciplines, researchers can gain a comprehensive understanding of microbial ecology, interactions, and functional dynamics. This review, developed by the Metaproteomics Initiative (www.metaproteomics.org), serves as a practical guide for both microbiome and proteomics researchers, presenting key principles, state‐of‐the‐art methodologies, and analytical workflows essential to metaproteomics. Topics covered include experimental design, sample preparation, mass spectrometry techniques, data analysis strategies, and statistical approaches.",Microbiome,"Community (taxonomy) profiling, Functional analysis, Interactome","(Meta)proteomics, Metaproteomics",Ecosystem Dynamics & Biodiversity
663,2025,Surveillance of Antimicrobial Resistance in the Asian Seabass (Lates calcarifer) Supply Chain Using Nanopore Sequencing,"Intensive fish farming worldwide has increased reliance on antibiotics to control bacterial pathogens, raising concerns about antimicrobial resistance (AMR) in aquaculture. These resistant bacteria can persist and pass through the food supply chain, from farms to consumers. Despite this risk, antimicrobial resistance genes (ARGs) in aquaculture environments and fish products have not been elucidated. This study aimed to detect ARGs found in the Asian seabass (Lates calcarifer), an economically important fish in Thailand, collected from farms, fish container vehicles, and markets, using Nanopore metagenomic sequencing. We detected multiple ARGs in all sample types. Water samples harbored the rpsL gene conferring streptomycin resistance. Container samples exhibited the highest diversity of ARGs, including multiple beta-lactamases and the rsmA gene, conferring resistance to fluoroquinolones, diaminopyrimidines, and phenicol antibiotics. Fish samples generally lacked ARGs, except for one sample harboring rsmA. Non-metric multidimensional scaling revealed distinct microbial communities in water, compared with those found in container and fish samples, indicating potential cross-contamination during handling or storage. Our findings emphasize that containers could be critical control points for minimizing AMR spread. Overall, this study highlights the interconnection between environmental, fish, and human health, highlighting the importance of integrated AMR surveillance and management in aquaculture systems.","Bacteria, Microbiome, Pathogen","Community (taxonomy) profiling, AMR","(Meta)genomics, Metagenomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
664,2025,Novel Anti-MRSA Peptide from Mangrove-Derived Virgibacillus chiguensis FN33 Supported by Genomics and Molecular Dynamics,"Antimicrobial resistance (AMR) is a global health threat, with methicillin-resistant Staphylococcus aureus (MRSA) being one of the major resistant pathogens. This study reports the isolation of a novel mangrove-derived bacterium, Virgibacillus chiguensis FN33, as identified through genome analysis and the discovery of a new anionic antimicrobial peptide (AMP) exhibiting anti-MRSA activity. The AMP was composed of 23 amino acids, which were elucidated as NH3-Glu-Gly-Gly-Cys-Gly-Val-Asp-Thr-Trp-Gly-Cys-Leu-Thr-Pro-Cys-His-Cys-Asp-Leu-Phe-Cys-Thr-Thr-COOH. The minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC) for MRSA were 8 µg/mL and 16 µg/mL, respectively. FN33 AMP induced cell membrane permeabilization, suggesting a membrane-disrupting mechanism. The AMP remained stable at 30–40 °C but lost activity at higher temperatures and following exposure to proteases, surfactants, and extreme pH. All-atom molecular dynamics simulations showed that the AMP adopts a β-sheet structure upon membrane interaction. These findings suggest that Virgibacillus chiguensis FN33 is a promising source of novel antibacterial agents against MRSA, supporting alternative strategies for drug-resistant infections.","Bacteria, Pathogen","Interactome, AMR",(Meta)genomics,Health & Disease
